code_id,code_type,category,term,combined_score,combined_rank,code_tier,category_model_tier
310568,snomed,Symptoms - General,Malaise,0.0281944355967309,1553.0,LOW,MEDIUM
14815,snomed,Comorbidity - Respiratory / ENT,Acute sinusitis,0.0278145218492816,1558.0,LOW,MEDIUM
957431,rxnorm,Medication - Mental Health / Sleep,citalopram 20 MG Oral Tablet,0.0275205131970951,1564.0,LOW,MEDIUM
780001,loinc,Vital Signs / Anthropometrics,Vital signs,0.0273052348162639,1569.0,LOW,MEDIUM
780161,loinc,Vital Signs / Anthropometrics,Heart rate rhythm,0.0271348679029229,1573.0,LOW,MEDIUM
10028,snomed,Comorbidity - Cardiovascular,Benign hypertension,0.0263666376641556,1588.0,LOW,STRONG
1045437,rxnorm,Medication - Mental Health / Sleep,cyclobenzaprine hydrochloride 10 MG Oral Tablet,0.02599223996078,1595.0,LOW,MEDIUM
264065,snomed,Vital Signs / Anthropometrics,Pulse oximetry monitoring,0.0258831757938525,1600.0,LOW,MEDIUM
44539,snomed,Comorbidity - GI / GU,Reflux,0.0257580398305895,1603.0,LOW,MEDIUM
34777,snomed,Comorbidity - Mental Health,"Major depression, single episode",0.02498449060498,1618.0,LOW,STRONG
791194,loinc,Comorbidity - Respiratory / ENT,FEV1 --pre bronchodilation,0.0249178157957135,1620.0,LOW,MEDIUM
362753,snomed,Comorbidity - GI / GU,Acute urinary tract infection,0.0247115352279785,1624.0,LOW,MEDIUM
791189,loinc,Comorbidity - Respiratory / ENT,FEV1 measured/predicted,0.0241921864514391,1628.0,LOW,MEDIUM
