Code,Name,Category
414041006,Does not have a carer,Carer - not
161676006,[V]Pseudophakia,Cataract
95722004,Bilateral cataracts,Cataract
193570009,Cataract,Cataract
84149000,Phacoemulsification of lens,Cataract
401306006,Phacoemulsification of lens and insertion of prosthetic replacement,Cataract
449710006,Cellulitis of lower limb,Cellulitis
387800004,Cervical spondylosis,Arthritis
285381006,Acute infective exacerbation of chronic obstructive airways disease,Chest infection
195742007,Acute lower respiratory tract infection,Chest infection
195647007,Acute respiratory infections,Chest infection
54398005,Acute upper respiratory infection,Chest infection
396285007,Bronchopneumonia,Chest infection
54150009,Upper respiratory infection,Chest infection
102589003,Atypical chest pain,Chest pain
29857009,Chest pain,Chest pain
2237002,Pleuritic pain,Chest pain
168731009,Standard chest X-ray,Chest x-ray
249171000000102,Chronic kidney disease annual review,CKD
433144002,Chronic kidney disease stage 3,CKD
700378005,Chronic kidney disease stage 3A,CKD
1085151000000108,6CIT (Six Item Cognitive Impairment Test) total score,Cognitive test
869561000000101,Assessment for dementia,Cognitive test
68496003,Colonic polyp,Colon polyp
313172000,Colonoscopy abnormal,Colonoscopy
174184006,Diagnostic colonoscopy,Colonoscopy
909721000006104,[RFC] Reason for care : Emphysema,COPD
170628003,Airways obstruction irreversible,COPD
32398004,Bronchitis,COPD
68328006,Centrilobular emphysema,COPD
13645005,Chronic obstructive pulmonary disease,COPD
760621000000103,Chronic obstructive pulmonary disease 6 monthly review,COPD
394703002,Chronic obstructive pulmonary disease annual review,COPD
446660005,Chronic obstructive pulmonary disease assessment test score,COPD
736283006,Chronic obstructive pulmonary disease clinical management plan,COPD
198411000000102,Chronic obstructive pulmonary disease does not disturb sleep,COPD
394702007,Chronic obstructive pulmonary disease follow-up,COPD
716241000000106,Chronic obstructive pulmonary disease monitoring first letter,COPD
717021000000106,Chronic obstructive pulmonary disease monitoring second letter,COPD
716901000000101,Chronic obstructive pulmonary disease monitoring telephone invitation,COPD
717521000000104,Chronic obstructive pulmonary disease monitoring third letter,COPD
716281000000103,Chronic obstructive pulmonary disease monitoring verbal invite,COPD
371611000000107,Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation,COPD
820341000000109,Chronic obstructive pulmonary disease rescue pack not indicated,COPD
811961000000106,Chronic obstructive pulmonary disease self-management plan agreed,COPD
810951000000101,Chronic obstructive pulmonary disease self-management plan review,COPD
1066821000000101,COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message first invitation,COPD
1066281000000104,COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message invitation,COPD
939991000006108,COPD medication review,COPD
390891009,COPD self-management plan given,COPD
736601004,Demonstration of inhaler technique,COPD
110011000000107,DNA - Did not attend chronic obstructive pulmonary disease clinic,COPD
741056003,Education about chronic obstructive pulmonary disease,COPD
716291000000101,Excepted from COPD quality indicators - informed dissent,COPD
716311000000100,Excepted from COPD quality indicators - patient unsuitable,COPD
27567911000001101,Incruse Ellipta 55micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),COPD
718241000000107,Issue of chronic obstructive pulmonary disease rescue pack,COPD
313296004,Mild chronic obstructive pulmonary disease,COPD
313297008,Moderate chronic obstructive pulmonary disease,COPD
