id,name,active,notes
431314004,SpO2 - oxygen saturation at periphery,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
443117005,Asthma control test score,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
446660005,Chronic obstructive pulmonary disease assessment test score,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
492191000000103,Ex roll-up cigarette smoker,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
49727002,Cough,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
50417007,Lower respiratory tract infection,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
505651000000103,Current smoker annual review,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
505761000000105,Ex-smoker annual review,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
50834005,Forced vital capacity,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
51615001,Fibrosis of lung,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
527151000000107,Smoking cessation advice declined,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
527361000000107,CAT - COPD assessment test,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
54150009,Upper respiratory infection,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
54398005,Acute upper respiratory infection,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
60621009,Body mass index,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
65568007,Cigarette smoker,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
6631009,Thrombocytosis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
66857006,Haemoptysis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
68328006,Centrilobular emphysema,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
700250006,Idiopathic pulmonary fibrosis,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
716281000000103,Chronic obstructive pulmonary disease monitoring verbal invite,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
716901000000101,Chronic obstructive pulmonary disease monitoring telephone invitation,y,extracted_from:sql/lung_v45_balanced_min3.sql:curated_codes
