TERM,MED_CODE_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Clenil Modulite 100micrograms/dose inhaler (Chiesi Ltd),10618211000001109,70.000,70.000,27,5166,0.005226,35,1.3,27.942857,28.000,16.771724896
Dihydrocodeine 30mg tablets,39708511000001104,62.000,61.500,27,5166,0.005226,40,1.48,14.875000,15.000,13.197100515
"Nystan 100,000units/ml oral suspension (ready mixed) (Vygoris Ltd)",163311000001104,77.000,76.000,27,5166,0.005226,30,1.11,12.600000,8.000,9.845706221
Eumovate 0.05% cream (GlaxoSmithKline UK Ltd),390011000001104,78.000,77.000,27,5166,0.005226,29,1.07,27.275862,28.000,3.899602159
Betahistine 16mg tablets,39733611000001104,78.000,78.000,26,5166,0.005033,37,1.42,16.891892,28.000,13.182024351
Sodium cromoglicate 2% eye drops,42196311000001108,67.000,67.000,26,5166,0.005033,29,1.12,19.655172,28.000,12.851558738
Fosfomycin 3g granules for oral solution sachets,18162111000001102,79.000,78.000,26,5166,0.005033,30,1.15,22.633333,28.000,10.91813844
"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)",3244411000001106,73.000,72.000,26,5166,0.005033,26,1,19.461538,28.000,13.063631272
Losartan 100mg tablets,42376711000001105,75.000,75.000,26,5166,0.005033,51,1.96,10.568627,0.000,17.618461794
Peptac liquid peppermint (Teva UK Ltd),9525811000001103,73.500,72.500,26,5166,0.005033,32,1.23,21.437500,28.000,12.813645695
Hydrocortisone 1% / Miconazole 2% ointment,41900211000001102,69.000,68.000,26,5166,0.005033,27,1.04,21.740741,28.000,11.036974903
Hypromellose 0.3% eye drops,42191611000001105,76.000,75.500,26,5166,0.005033,32,1.23,24.031250,28.000,9.713590016
Fostair 100micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),12906411000001100,71.000,70.500,25,5166,0.004839,30,1.2,27.600000,30.000,19.16462259
Fenbid Forte 10% gel (Advanz Pharma),46111000001106,76.000,75.000,25,5166,0.004839,28,1.12,27.000000,28.000,5.291502622
Dapagliflozin 10mg tablets,39689811000001104,76.000,76.000,25,5166,0.004839,29,1.16,29.206897,28.000,15.435069776
GlucoRx Nexus testing strips (GlucoRx Ltd),18334511000001103,74.500,74.000,25,5166,0.004839,28,1.12,30.000000,28.000,10.583005244
Doxazosin 1mg tablets,42209111000001103,68.000,68.000,25,5166,0.004839,38,1.52,20.105263,28.000,16.895208788
Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,38897111000001108,79.500,78.500,25,5166,0.004839,30,1.2,24.000000,28.000,9.43215336
Fluconazole 150mg capsules,41787011000001104,63.000,62.500,25,5166,0.004839,30,1.2,11.666667,1.000,13.57059026
"Nystatin 100,000units/ml oral suspension",41792811000001106,77.000,76.000,25,5166,0.004839,27,1.08,13.407407,8.000,9.849870202
Nitrofurantoin 100mg capsules,41952811000001109,67.000,67.000,25,5166,0.004839,25,1,12.920000,7.000,11.213533475
Depo-Medrone 40mg/1ml suspension for injection vials (Pfizer Ltd),623611000001104,77.500,77.000,25,5166,0.004839,28,1.12,20.178571,28.000,12.596453271
Trimethoprim 100mg tablets,41956111000001103,72.000,71.000,25,5166,0.004839,32,1.28,18.968750,28.000,12.792347439
Mepradec 20mg gastro-resistant capsules (Dexcel-Pharma Ltd),10820111000001101,67.000,67.000,25,5166,0.004839,39,1.56,14.538462,28.000,14.035380401
Sodium bicarbonate 5% ear drops,35924811000001102,76.000,75.000,24,5166,0.004646,26,1.08,22.961538,28.000,10.577261555
Pregabalin 25mg capsules,42135411000001103,79.000,78.500,24,5166,0.004646,36,1.5,28.527778,28.000,6.203621604
Naproxen 500mg gastro-resistant tablets,42107611000001104,63.000,63.000,24,5166,0.004646,31,1.29,19.290323,28.000,15.262576355
Fucibet cream (LEO Pharma),399111000001108,74.500,74.500,23,5166,0.004452,30,1.3,27.066667,28.000,5.112077171
Rivaroxaban 20mg tablets,19842211000001107,76.000,75.000,23,5166,0.004452,25,1.09,27.160000,28.000,11.664333114
Fluticasone furoate 27.5micrograms/dose nasal spray,42189811000001109,71.500,71.500,23,5166,0.004452,28,1.22,31.500000,30.000,16.299284248
Anusol HC ointment (Church & Dwight UK Ltd),429711000001108,74.000,73.500,23,5166,0.004452,28,1.22,23.285714,28.000,11.088389468
Candesartan 8mg tablets,42372111000001105,71.000,70.000,23,5166,0.004452,29,1.26,30.482759,28.000,13.955594613
Typhim Vi 25micrograms/0.5ml vaccine solution for injection pre-filled syringes (Sanofi),2995611000001105,65.000,65.000,23,5166,0.004452,23,1,19.478261,28.000,16.74642314
Solifenacin 10mg tablets,42042811000001100,76.500,76.000,23,5166,0.004452,26,1.13,34.615385,30.000,13.968756351
Fluorouracil 5% cream,41898311000001102,76.500,75.500,23,5166,0.004452,24,1.04,26.833333,28.000,5.715476096
Glycerol 4g suppositories,35368211000001106,76.500,76.000,23,5166,0.004452,26,1.13,16.192308,12.000,10.654648657
Betnovate 0.1% cream (GlaxoSmithKline UK Ltd),692111000001109,75.500,74.500,23,5166,0.004452,24,1.04,18.666667,28.000,13.483215529
Indapamide 1.5mg modified-release tablets,39020711000001100,76.000,76.000,23,5166,0.004452,28,1.22,24.535714,30.000,16.001116024
Candesartan 4mg tablets,42372011000001109,77.500,76.500,22,5166,0.004259,30,1.36,27.066667,28.000,18.722903781
Efudix 5% cream (Viatris UK Healthcare Ltd),437111000001103,77.000,76.000,22,5166,0.004259,22,1,27.363636,28.000,6.800178233
Spironolactone 25mg tablets,42216511000001100,76.000,76.000,22,5166,0.004259,24,1.09,21.583333,28.000,16.373139894
Linagliptin 5mg tablets,19525211000001103,71.000,70.500,22,5166,0.004259,26,1.18,34.192308,28.000,16.245662129
Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),3245911000001104,69.000,68.000,22,5166,0.004259,24,1.09,14.666667,14.500,15.075654613
Zostavax vaccine powder and solvent for suspension for injection 0.65ml pre-filled syringes (Merck Sharp & Dohme (UK) Ltd),20110511000001107,73.000,72.000,21,5166,0.004065,21,1,28.000000,28.000,0
Inadine dressing 5cm x 5cm (Systagenix Wound Management Ltd),644011000001106,82.000,82.000,21,5166,0.004065,23,1.1,26.782609,28.000,5.838403635
Betahistine 8mg tablets,39733711000001108,74.000,73.000,21,5166,0.004065,27,1.29,15.407407,10.000,14.639932889
Chlorphenamine 4mg tablets,39708211000001102,73.000,72.000,21,5166,0.004065,25,1.19,17.640000,28.000,13.114495797
Fluconazole 50mg capsules,41787311000001101,71.000,71.000,21,5166,0.004065,22,1.05,15.090909,12.000,11.409724712
Betamethasone valerate 0.025% cream,41892411000001107,76.500,76.000,21,5166,0.004065,24,1.14,27.166667,28.000,9.849593545
Aspirin 75mg tablets,42292011000001108,71.000,71.000,21,5166,0.004065,25,1.19,28.080000,28.000,21.389093786
Metformin 500mg modified-release tablets,39113511000001101,68.500,67.500,21,5166,0.004065,26,1.24,18.038462,28.000,15.358335261
Scheriproct ointment (Karo Healthcare UK Ltd),226611000001108,74.000,73.000,21,5166,0.004065,23,1.1,24.652174,28.000,8.921927538
Amorolfine 5% medicated nail lacquer,39694211000001103,74.000,74.000,20,5166,0.003871,21,1.05,26.666667,28.000,34.832934602
Aqueous cream,14607911000001101,72.500,71.500,20,5166,0.003871,26,1.3,14.000000,14.000,14.277254638
"Quadrivalent influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi)",34680411000001107,64.500,63.500,20,5166,0.003871,20,1,28.000000,28.000,0
Clotrimazole 500mg pessary and Clotrimazole 2% cream,39706111000001109,72.000,71.500,20,5166,0.003871,22,1.1,28.318182,28.000,6.289722251
Amitriptyline 25mg tablets,42291211000001105,69.000,68.000,20,5166,0.003871,24,1.2,15.291667,14.000,16.577824797
Hydromol ointment (Alliance Pharmaceuticals Ltd),4366011000001105,77.500,76.500,20,5166,0.003871,22,1.1,29.909091,28.000,22.780336323
Oramorph 10mg/5ml oral solution (Glenwood GmbH),3164311000001109,76.000,76.000,20,5166,0.003871,28,1.4,18.357143,28.000,13.300554951
Estradiol 10microgram pessaries,18109911000001108,73.000,73.000,20,5166,0.003871,21,1.05,29.333333,28.000,13.933173831
Gliclazide 40mg tablets,16702011000001102,74.000,74.000,20,5166,0.003871,25,1.25,26.040000,28.000,13.330666412
Ezetimibe 10mg tablets,42209811000001105,69.000,68.000,20,5166,0.003871,30,1.5,27.600000,28.000,16.587490105
Avamys 27.5micrograms/dose nasal spray (GlaxoSmithKline UK Ltd),15046311000001109,69.000,69.000,19,5166,0.003678,21,1.11,32.476190,30.000,37.872970639
Flexitol 25% Urea Heel Balm (Thornton & Ross Ltd),13131311000001104,72.000,72.000,19,5166,0.003678,23,1.21,30.043478,28.000,9.800177447
Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd),3255011000001100,70.000,70.000,19,5166,0.003678,19,1,20.631579,28.000,12.667589984
"Cell-based quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)",40085011000001101,63.000,62.000,19,5166,0.003678,19,1,26.578947,28.000,6.19422481
Solaraze 3% gel (Almirall Ltd),3648411000001100,77.000,76.500,19,5166,0.003678,20,1.05,28.300000,28.000,16.874459043
AeroChamber Plus with adult mask (Trudell Medical UK Ltd),9518711000001106,78.000,77.000,19,5166,0.003678,19,1,25.052632,28.000,8.828449467
Pregabalin 50mg capsules,42135611000001100,77.000,77.000,19,5166,0.003678,28,1.47,29.000000,28.000,5.291502622
Peptac liquid aniseed (Teva UK Ltd),3029811000001100,70.000,69.500,19,5166,0.003678,24,1.26,22.166667,28.000,11.615831266
Lisinopril 20mg tablets,42376411000001104,69.000,67.000,19,5166,0.003678,41,2.16,10.609756,0.000,16.20629205
Clobetasol 0.05% cream,41894411000001100,71.000,71.000,19,5166,0.003678,23,1.21,23.869565,28.000,9.845646703
Trelegy Ellipta 92micrograms/dose / 55micrograms/dose / 22micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),34952211000001104,75.500,75.000,19,5166,0.003678,22,1.16,23.363636,28.000,14.227891622
Simvastatin 10mg tablets,42381911000001105,76.000,75.000,19,5166,0.003678,24,1.26,11.666667,0.000,16.340578111
Sharpsguard disposal unit 1litre Yellow (Daniels Healthcare Ltd),12528211000001102,69.500,69.000,19,5166,0.003678,28,1.47,21.000000,28.000,12.346839434
Rosuvastatin 5mg tablets,42381811000001100,79.500,78.500,18,5166,0.003484,22,1.22,28.000000,28.000,22.861904273
Neomycin 0.5% / Chlorhexidine hydrochloride 0.1% nasal cream,41904111000001104,70.000,69.500,18,5166,0.003484,18,1,25.666667,28.000,9.899494937
Gaviscon Advance  Oral suspension,,67.000,66.000,18,5166,0.003484,29,1.61,15.931034,25.000,13.969177893
Terbinafine 250mg tablets,41795011000001105,69.000,68.500,18,5166,0.003484,22,1.22,28.636364,28.000,13.984840292
Lisinopril 10mg tablets,42376111000001109,74.500,74.500,18,5166,0.003484,24,1.33,17.500000,28.000,16.121818849
"Prosys sterile leg bag with lever tap P500S-LT 500ml bag, short tube (Clinisupplies Ltd)",16619711000001101,76.500,76.500,18,5166,0.003484,20,1.11,29.400000,28.000,6.260990337
Depo-Medrone with Lidocaine suspension for injection 1ml vials (Pfizer Ltd),470611000001109,81.500,80.500,18,5166,0.003484,22,1.22,26.727273,28.000,5.969620088
Estriol 1mg/g vaginal cream with applicator,41896911000001100,76.000,76.000,18,5166,0.003484,21,1.17,26.666667,28.000,6.110100899
Ticagrelor 90mg tablets,42298811000001100,70.000,70.000,18,5166,0.003484,20,1.11,33.200000,28.000,10.787907443
Estriol 0.01% vaginal cream with applicator,3408711000001103,70.000,69.000,18,5166,0.003484,22,1.22,26.681818,28.000,10.498917706
Doublebase gel (Dermal Laboratories Ltd),3641211000001108,81.000,80.000,18,5166,0.003484,23,1.28,23.130435,28.000,10.851494874
"Prosys sterile leg bag with lever tap P500L-LT 500ml bag, long tube (Clinisupplies Ltd)",16619911000001104,78.500,78.500,18,5166,0.003484,20,1.11,28.000000,28.000,0
Metformin 850mg tablets,42085111000001105,68.500,67.500,18,5166,0.003484,26,1.44,25.115385,28.000,23.950493815
Apixaban 2.5mg tablets,42206411000001101,83.000,82.000,18,5166,0.003484,21,1.17,24.380952,28.000,13.044064512
Clobetasol 0.05% ointment,41894511000001101,76.000,75.500,18,5166,0.003484,20,1.11,28.000000,28.000,0
Oxytetracycline 250mg tablets,41953611000001100,67.000,66.000,18,5166,0.003484,21,1.17,18.571429,28.000,14.658006106
Braltus 10microgram inhalation powder capsules with Zonda inhaler (Teva UK Ltd),33594911000001100,75.500,75.000,18,5166,0.003484,20,1.11,28.100000,28.000,0.4472135955
Simpla G-Strap adult 383001 50cm (Coloplast Ltd),6476511000001109,79.000,79.000,18,5166,0.003484,21,1.17,25.333333,28.000,8.422192885
Mirtazapine 30mg tablets,42274711000001109,67.000,67.000,18,5166,0.003484,24,1.33,22.166667,28.000,15.944650639
Betnovate 0.1% ointment (GlaxoSmithKline UK Ltd),2913211000001105,76.500,76.000,17,5166,0.003291,18,1.06,28.000000,28.000,0
Felodipine 5mg modified-release tablets,39020611000001109,74.000,74.000,17,5166,0.003291,20,1.18,23.800000,28.000,16.440002555
Movicol oral powder 13.7g sachets lemon & lime (Forum Health Products Ltd),3258511000001100,64.000,63.000,17,5166,0.003291,27,1.59,16.740741,28.000,14.053722745
Fultium-D3 800unit capsules (Thornton & Ross Ltd),19920511000001104,72.000,72.000,17,5166,0.003291,31,1.82,22.967742,28.000,17.647443384
Lisinopril 2.5mg tablets,42376211000001103,74.000,74.000,17,5166,0.003291,19,1.12,23.578947,28.000,16.859932088
Vagifem 10microgram vaginal tablets (Novo Nordisk Ltd),18093811000001105,70.000,70.000,17,5166,0.003291,19,1.12,30.736842,28.000,12.930764788
Pravastatin 20mg tablets,42379911000001103,72.000,72.000,17,5166,0.003291,23,1.35,21.260870,28.000,21.256480071
Domperidone 10mg tablets,39690811000001107,72.000,71.500,17,5166,0.003291,20,1.18,21.800000,28.000,11.237156402
Hylo-Forte 0.2% eye drops preservative free (Scope Ophthalmics Ltd),16119611000001106,79.000,78.500,17,5166,0.003291,20,1.18,28.000000,28.000,0
Canesten HC cream (Bayer Plc),125711000001105,68.500,68.500,17,5166,0.003291,18,1.06,21.055556,28.000,11.972872379
Betamethasone valerate 0.025% ointment,41892511000001106,75.500,75.000,17,5166,0.003291,18,1.06,18.277778,28.000,12.960598906
