CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
116144002,observation,REPRO_TAH_BSO,Total abdominal hysterectomy with bilateral salpingo-oophorectomy,0.0280018548804226,1411.0,LOW,ZERO
170636007,observation,COMORBID_ASTHMA,Asthma never disturbs sleep,0.0279920853650217,1414.0,LOW,MEDIUM
390889001,observation,COMORBID_DM_FOOT,O/E - right foot pulses present,0.0277959830644997,1419.0,LOW,LOW
285381000000108,observation,LIFE_ALC_SCREEN,Alcohol screen - alcohol use disorder identification test completed,0.0268333845197458,1437.0,LOW,LOW
359649009,observation,LIFE_DIET,Weight reduction diet,0.0268091053107723,1443.0,LOW,MEDIUM
771981000000105,observation,COMORBID_ASTHMA,Asthma limits activities 1 to 2 times per month,0.0254322600583145,1484.0,LOW,MEDIUM
266883004,observation,FAMHX_OTHER_CANCERS,Family history of neoplasm,0.0254252062191306,1486.0,LOW,LOW
39113611000001102,medication,RESPIRATORY_INHALERS,Salbutamol 100micrograms/dose inhaler CFC free,0.0253453555613081,1488.0,LOW,LOW
41880611000001105,medication,OC,Norethisterone 350microgram tablets,0.0253425964702462,1489.0,LOW,MEDIUM
165871000000103,observation,LAB_SPIRO_FLOW,Peak expiratory flow rate measured using EN 13826 device,0.0251993371031714,1497.0,LOW,MEDIUM
53430007,observation,SYMPTOM_BREAST_PAIN,Pain of breast,0.0248399202730505,1508.0,LOW,MEDIUM
290085007,observation,SYMPTOM_BREAST_LUMP,Breast problem,0.0247947306679489,1509.0,LOW,STRONG
3175611000001106,medication,RESPIRATORY_INHALERS,Qvar 100 inhaler (Teva UK Ltd),0.0247641316178395,1511.0,LOW,LOW
165034005,observation,LAB_SPIRO_FLOW,Respiratory flow rate measured,0.0245674283810114,1512.0,LOW,MEDIUM
39112711000001103,medication,RESPIRATORY_INHALERS,Salbutamol 100micrograms/dose breath actuated inhaler CFC free,0.0241350446834692,1521.0,LOW,LOW
251944000,observation,LAB_SPIRO_VOLUMES,Forced expired volume in one second/forced vital capacity ratio,0.0236362541310509,1543.0,LOW,LOW
254845004,observation,BREAST_BENIGN,Fibroadenoma of breast,0.0235257525319837,1552.0,LOW,MEDIUM
370205009,observation,COMORBID_ASTHMA,Asthma causes night symptoms 1 to 2 times per month,0.0233918212850881,1555.0,LOW,MEDIUM
170656008,observation,COMORBID_ASTHMA,Asthma sometimes restricts exercise,0.0227181096329709,1573.0,LOW,MEDIUM
170629006,observation,COMORBID_ASTHMA,Bronchodilators used more than once daily,0.0224348090691401,1581.0,LOW,MEDIUM
997121000000100,observation,LAB_GONADOTROPHIN,Gonadotrophin levels,0.022424156135487,1582.0,LOW,LOW
300863000,observation,SYMPTOM_BREAST_LUMP,Mass of axilla,0.0222286658762794,1584.0,LOW,STRONG
116143008,observation,REPRO_TAH,Total abdominal hysterectomy,0.0216945388585275,1602.0,LOW,LOW
28432003,observation,BREAST_BENIGN,Abscess of breast,0.0215090305420264,1608.0,LOW,MEDIUM
266896003,observation,COMORBID_CVD_FH_IHD_GT60,FH: Ischaemic heart disease at greater than 60 years,0.0206228790173745,1632.0,LOW,LOW
73211009,observation,COMORBID_DM,Insulin dependent diabetes mellitus,0.0198402454031226,1663.0,LOW,LOW
222311000001102,medication,RESPIRATORY_INHALERS,Ventolin 100micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),0.0197959549768142,1665.0,LOW,LOW
754061000000100,observation,COMORBID_ASTHMA_CONTROL,Asthma review using Royal College of Physicians three questions,0.019572659139361,1671.0,LOW,LOW
473391009,observation,COMORBID_ASTHMA,Asthma never causes night symptoms,0.0191864786976978,1680.0,LOW,MEDIUM
394871007,observation,LIFE_SMOKING,Thinking about stopping smoking,0.0190204672806469,1685.0,LOW,MEDIUM
313222007,observation,LAB_SPIRO_VOLUMES,FEV1/FVC percent,0.0186196129357393,1705.0,LOW,LOW
429740004,observation,FAMHX_BREAST_OVARIAN,Family history of malignant neoplasm of breast,0.0184975185122233,1709.0,LOW,LOW
3347911000001102,medication,HRT,Femoston 1/10mg tablets (Exeltis UK Ltd),0.0184964000149876,1711.0,LOW,MEDIUM
160652009,observation,LIFE_PHYSACT,Takes inadequate exercise,0.0184797029692687,1713.0,LOW,LOW
3367311000001108,medication,HRT,Elleste Duet 1mg tablets (Exeltis UK Ltd),0.0179254100015753,1734.0,LOW,MEDIUM
391118006,observation,LAB_SPIRO_FLOW,Positive reversibility test to salbutamol,0.0179000111329223,1735.0,LOW,MEDIUM
38341003,observation,COMORBID_HTN,Hypertensive disorder,0.0176024296381437,1743.0,LOW,LOW
